id,title,source_name,url,license,date_accessed,text_chunk,category
who_influenza_01,Influenza (Flu),World Health Organization,https://www.who.int/health-topics/influenza,Public,2026-01-26,WHO Health Topic: Influenza (Flu) Technical links Fact sheets Influenza (avian and other zoonotic) Influenza (seasonal) How can I avoid getting the flu? How influenza preparedness helps fight other infectious diseases Guidelines and manuals Surveillance and laboratory WHO Global Epidemiological Surveillance Standards for Influenza Manual for the laboratory diagnosis and virological surveillance of influenza Burden of influenza disease Influenza severity assessment Outbreak investigation Protocol to investigate non-seasonal influenza and other emerging acute respiratory diseases Avian and other zoonotic influenza Summary of Key Information Practical to Countries Experiencing Outbreaks of A(H5N1) and Other Subtypes of Avian Influenza Public health measures Non-pharmaceutical public health measures for mitigating the risk and impact of epidemic and pandemic influenza Pandemic influenza Pandemic Influenza Risk Management (updated 2017) A checklist for pandemic influenza risk and impact management Essential steps for developing or updating a national pandemic influenza preparedness plan A practical guide for developing and conducting simulation exercise to test and validate pandemic influenza preparedness plans Influenza vaccines Vaccine viruses Vaccine use Vaccine in tropics How to implement seasonal influenza vaccination of health workers Databases FluNet Influenza Research Database FluID National Influenza Centres WHO Collaborating Centres for influenza and Essential Regulatory Laboratories WHO teams Global Influenza Programme Seasonal influenza updates Monthly risk assessments on avian and other zoonotic influenza -,guidelines
who_diarrhoea_01,Diarrhoea,World Health Organization,https://www.who.int/health-topics/diarrhoea,Public,2026-01-26,"WHO Health Topic: Diarrhoea Overview: Diarrhoeal disease is the second leading cause of death in children under five years old, and was responsible for the deaths of 370,000 children in 2019. The most severe threat posed by diarrhoea is dehydration. During an episode of diarrhoea, water and electrolytes including sodium, chloride, potassium and bicarbonate are lost through liquid stools, vomit, sweat, urine and breathing. A person with diarrhoea becomes dehydrated when these losses are not replaced. In addition, diarrhoea is a major cause of malnutrition, making the person more susceptible to future bouts of diarrhoea and to other diseases. There are three clinical types of diarrhoea, each with its specific treatments: Acute watery diarrhoea, which may last several hours or days, and includes cholera. Acute bloody diarrhoea, also called dysentery. Persistent diarrhoea, lasting 14 days or longer. In the past, for most children, severe dehydration and fluid loss were the main causes of dying from diarrhoea. Now, other causes such as septic bacterial infections are likely to account for an increasing proportion of all diarrhoea-associated deaths. Exclusive breastfeeding is protective and prevents diarrhoea from occurring in young children. Breastfeeding also reduces the severity of diarrhoea. Innovative activities and demand creation are important for achieving behaviour change and sustaining long-term preventive practices to combat preventable morbidity and mortality from diarrhoeal diseases. Symptoms Diarrhoea is the passage of 3 or more loose or liquid stools per day, or more frequently than is normal for the individual. It is usually a symptom of gastrointestinal infection, which can be caused by a variety of bacterial, viral and parasitic organisms. Infection is spread through contaminated food or drinking-water, or from person to person as a result of poor hygiene. Treatment Key measures to prevent diarrhoea include the following: access to safe drinking-water.",guidelines
who_diarrhoea_02,Diarrhoea,World Health Organization,https://www.who.int/health-topics/diarrhoea,Public,2026-01-26,"use of improved sanitation. hand washing with soap. exclusive breastfeeding for the first six months of life. good personal and food hygiene. health education about how infections spread. rotavirus vaccination. Key measures to treat diarrhoea include the following: Rehydration with oral rehydration salts (ORS) solution: ORS, particularly the low osmolarity formula, are a proven life-saving commodity for the treatment of children with diarrhoea. Rehydration may require intravenous fluids in case of severe dehydration or shock. Zinc supplements reduce the duration of a diarrhoea episode by 25% and are associated with a 30% reduction in stool volume. Nutrient-rich foods: the vicious circle of malnutrition and diarrhoea can be broken by continuing to give nutrient-rich foods – including breast milk – during an episode, and by giving a nutritious diet – including exclusive breastfeeding for the first six months of life – to children when they are well. Consulting a health professional , in particular for management of persistent diarrhoea, or when there is blood in the stool, or if there are signs of dehydration. Adequate nutrition is key to improving natural defenses, starting with exclusive breastfeeding for the first 6 months of life. Fact sheets Diarrhoeal disease E. coli Cholera Campylobacter Salmonella (non-typhoidal) Drinking-water Sanitation Immunization coverage Questions and answers What are the key health dangers for children? Databases and tools Monitoring Visualization Tool for the Global Action Plan for Pneumonia and Diarrhoea (GAPPD) Global Health Observatory: Water and Sanitation Disease outbreak news Emergencies preparedness, response Technical work Child Health and Development Unit Maternal, Newborn, Child and Adolescent Health and Ageing Food safety Water sanitation hygiene Immunization, Vaccines and Biologicals",guidelines
who_malaria_01,Malaria,World Health Organization,https://www.who.int/health-topics/malaria,Public,2026-01-26,"WHO Health Topic: Malaria Overview: Malaria is a life-threatening disease caused by parasites that are transmitted to people through the bites of infected female Anopheles mosquitoes. It is preventable and curable. There are 5 parasite species that cause malaria in humans, and 2 of these species – Plasmodium falciparum and Plasmodium vivax – pose the greatest threat. In 2024, nearly half of the world's population was at risk of malaria. While sub-Saharan Africa carries a disproportionately high share of the global malaria burden, the WHO Regions of South-East Asia and Eastern Mediterranean, Western Pacific, and the Americas also report significant numbers of cases . There were an estimated 282 million cases of malaria in 2024, and the estimated number of malaria deaths stood at 610 000. In 2024, the African Region was home to 94% and 95% of malaria cases and deaths, respectively. Children under 5 years of age are most at risk of severe complications from malaria; in 2024, they accounted for nearly 75% of all malaria deaths in the WHO African Region. Symptoms Malaria is an acute febrile illness. In a non-immune individual, symptoms usually appear 10–15 days after the infective mosquito bite. The first symptoms – fever, headache and chills – may be mild and difficult to recognize as malaria. If not treated within 24 hours, Plasmodium falciparum malaria can progress to severe illness, and lead to death. Children with severe malaria frequently develop one or",guidelines
who_dengue_01,Dengue,World Health Organization,https://www.who.int/health-topics/dengue,Public,2026-01-26,"WHO Health Topic: Dengue Overview: Dengue is a mosquito-borne viral infection common in warm, tropical climates. It is caused by any one of four closely related dengue viruses (called serotypes), which can lead to a broad spectrum of symptoms, including some that are extremely mild (unnoticeable) to those who may require medical intervention and hospitalization. In severe cases, fatalities can occur. There is no treatment for the infection itself, but the symptoms that a patient experiences can be managed. In 2023, WHO graded dengue as a Grade 3 emergency after outbreaks increased in several countries. Dengue epidemics tend to have seasonal patterns, with transmission often peaking during and after rainy seasons . Several factors contribute to this increase, including high mosquito population levels, susceptibility to circulating serotypes, favourable air temperatures , precipitation and humidity, all of which affect the reproduction and feeding patterns of mosquito populations, as well as the dengue virus incubation period. Unplanned urbanization and climatic factors such as heat waves and high temperatures have increased the intensity, frequency, duration and distribution of dengue in recent years. Lack of sustained surveillance and control interventions as well as staff are some of the other challenges. Absence of an integrated programmatic approach continues to affect countries. Symptoms Dengue is a self-limiting febrile illness with symptoms ranging from extremely mild (asymptomatic) to severe. Symptoms of dengue may be observed around 4–10 days after the bite of an infected mosquito. Common symptoms are like those of the flu, with patients experiencing: fever, headaches, pain behind the eyes, muscle and joint pain, nausea/vomiting, rash and fatigue. As the disease progresses, patients can also experience respiratory distress, bleeding from the nose and gums and rapid drop in blood pressure leading to shock. If left unmanaged, this can lead to death.",guidelines
who_dengue_02,Dengue,World Health Organization,https://www.who.int/health-topics/dengue,Public,2026-01-26,"Sound case management of dengue in hospitals has helped to reduce case-fatality rates to less than 1% in most affected countries. Dengue is increasing at a faster rate than any other communicable disease, with a significant increase over 24 years (2000–2024). Annual dengue incidence is estimated to be in the order of 100 million symptomatic cases a year, with another ~300 million asymptomatic infections. The greatest burden is seen in Asia (75%), followed by Latin America and Africa. 2024 recorded the highest levels of dengue with 14 305 764 cases and 10 576 deaths reported from 112 countries to WHO. WHO has established a global dengue surveillance dashboard to track cases from all regions. ( https://worldhealthorg.shinyapps.io/dengue_global/ ) Treatment There are no specific antiviral treatments against dengue fever. Acetaminophen (Paracetamol) is indicated to bring down the fever. Acetylsalicylic acid (Aspirin) and related non-steroidal anti-inflammatory drugs (such as Ibuprofen) should be avoided. Recovery from infection by one dengue virus provides lifelong immunity against that particular virus serotype. However, this immunity confers only partial and transient protection against subsequent infection by the other three serotypes of the virus. Evidence suggests that sequential infection increases the risk of developing severe dengue. The time interval between infections and the particular viral sequence of infections may also be of importance. Currently, only one vaccine is available for dengue prevention. WHO recommends the use of Q-denga (TAK-003) in children aged 6–16 years in settings with high intensity of dengue transmission. The vaccination course consists of two injections given 3 months apart The best way to prevent infection is to avoid being bitten by mosquitoes during the daytime. Mosquitoes that transmit dengue virus often live in and around the home and in the garden.",guidelines
who_dengue_03,Dengue,World Health Organization,https://www.who.int/health-topics/dengue,Public,2026-01-26,"People should: wear clothing that covers the body well (especially the legs and feet); keep mosquitoes out of the house by placing insect screens over doors and windows; apply insect repellents according to the manufacturer’s label instructions; sleep under a net, during the day; take extra precautions to prevent transmission if a family member is infected by avoiding mosquito bites; and clean the surroundings and prevent water stagnation in and around homes. Fact sheets Dengue Questions and answers Frequently asked questions on dengue and severe dengue Databases and tools NTD roadmap tracker Global dengue surveillance dashboard Disease outbreak news Disease outbreak news Initiatives and groups Vector Control Advisory Group Resolutions and decisions Dengue fever and dengue haemorrhagic fever prevention and control;2002 | WHA55.17 Prevención y control de la fiebre dengue y la fiebre hemorrágica dengue;2002 | WHA55.17 Technical work Control of Neglected tropical Diseases",guidelines
who_cholera_01,Cholera,World Health Organization,https://www.who.int/health-topics/cholera,Public,2026-01-26,"WHO Health Topic: Cholera Overview: Cholera is an acute diarrhoeal infection caused by eating or drinking food or water that is contaminated with the bacterium Vibrio cholerae . Cholera remains a global threat to public health and is an indicator of inequity and lack of social development. Researchers have estimated that every year, there are 1.3 to 4.0 million cases of cholera, and 21 000 to 143 000 deaths worldwide due to the infection. Cholera is an extremely serious disease that can cause severe acute watery diarrhoea with severe dehydration. It takes between 12 hours and 5 days for a person to show symptoms after consuming contaminated food or water. Cholera affects both children and adults and can kill within hours if untreated. Most people infected with Vibrio cholerae do not develop any symptoms, although the bacteria are present in their faeces for 1-10 days after infection. This means the bacteria are shed back into the environment, potentially infecting other people. Cholera is often predictable and preventable. It can ultimately be eliminated where access to clean water and sanitation facilities, as well as good hygiene practices, are ensured and sustained for the whole population. Prevention and control Measures for the prevention of cholera mostly consist of providing clean water and proper sanitation to populations who do not yet have access to basic services, as well as vaccination with Oral Cholera Vaccines. Health education and good food hygiene are also essential. Communities should be reminded of basic hygienic behaviours. These include the need to always wash hands with soap after defecation and before handling food or eating, as well as safe preparation and conservation of food. Strengthening surveillance and early warning systems are important measures to allow detection of the first cases in an outbreak and to put in place control measures as quickly as possible.",guidelines
who_cholera_02,Cholera,World Health Organization,https://www.who.int/health-topics/cholera,Public,2026-01-26,"Preventing and controlling cholera requires interventions beyond the health sector and it is vital to engage with partners across other sectors. The development and implementation of multi-sectoral cholera control plans is a useful mechanism to bring together all relevant sectors, and forge lines of communication and coordination that are valuable beyond cholera control. Vaccines Since the creation of the global stockpile in 2013, more than 50 million doses of Oral cholera vaccines (OCV) have been successfully used in various settings through mass campaigns. OCV is a tool that is used in addition to classic cholera control measures. It should be systematically considered in both endemic cholera hotspots as well as during outbreaks and emergencies. OCV are safe and effective and are just one tool in a much larger toolbox that includes sustainable safe water, sanitation, and hygiene (WASH), but serve as a critical bridge to these longer-term efforts. Fact sheets Cholera Sanitation Questions and answers Cholera outbreaks Databases and tools Cholera and acute watery diarrhoea outbreaks Cholera dashboards Cholera kits 2020 Cholera outbreak toolbox Cholera surveillance supporting tools - Global Taskforce on Cholera Control Priority Areas for Multisectoral Interventions (PAMIs) dashboard Initiatives and groups International Coordinating Group (ICG) on Vaccine Provision Resolutions and decisions Cholera prevention and control (WHA71.4) Cholera: mechanism for control and prevention (WHA64.15) Training Cholera training resources Technical work Immunization, Vaccines and Biologicals Oral cholera vaccine International coordination of cholera vaccine supplies Risk communication",guidelines
who_tuberculosis_01,Tuberculosis,World Health Organization,https://www.who.int/health-topics/tuberculosis,Public,2026-01-26,"WHO Health Topic: Tuberculosis Overview: TB is caused by bacteria (Mycobacterium tuberculosis) and it most often affects the lungs. TB is spread through the air when people with lung TB cough, sneeze or spit. A person needs to inhale only a few germs to become infected. Every year, 10 million people fall ill with tuberculosis (TB). Despite being a preventable and curable disease, 1.5 million people die from TB each year – making it the world’s top infectious killer. TB is the leading cause of death of people with HIV and also a major contributor to antimicrobial resistance. Most of the people who fall ill with TB live in low- and middle-income countries, but TB is present all over the world. About half of all people with TB can be found in 8 countries: Bangladesh, China, India, Indonesia, Nigeria, Pakistan, Philippines and South Africa. About a quarter of the global population is estimated to have been infected with TB bacteria, but most people will not go on to develop TB disease and some will clear the infection. Those who are infected but not (yet) ill with the disease cannot transmit it. People infected with TB bacteria have a 5–10% lifetime risk of falling ill with TB. Those with compromised immune systems, such as people living with HIV, malnutrition or diabetes, or people who use tobacco, have a higher risk of falling ill. Symptoms Common symptoms of TB disease include: • Prolonged cough • Chest pain • Weakness or fatigue • Weight loss • Fever • Night sweats Often, these symptoms will be mild for many months, thus leading to delays in seeking care and increasing the risk of spreading the infection to others. If the healthcare provider suspects a patient to have TB disease, they will send the patient for testing. In the case of suspected lung TB disease, patients will be asked to give a sputum sample for testing for TB bacteria. For non-lung TB disease, samples of affected body fluids and tissue can be tested.",guidelines
who_tuberculosis_02,Tuberculosis,World Health Organization,https://www.who.int/health-topics/tuberculosis,Public,2026-01-26,"WHO recommends rapid molecular diagnostic tests as initial tests for people showing signs and symptoms of TB. Other diagnostic tools can include sputum smear microscopy and chest X-rays. With TB infection, a person gets infected with TB bacteria that lie inactive in the body. This infection can develop into TB disease if their immune system weakens. People with TB infection do not show any signs or symptoms of TB. To identify TB infection, healthcare providers will screen at-risk patients to rule out active TB, and they may use a skin or blood test to check for TB infection. Treatment TB disease is curable. It is treated by standard 6 month course of 4 antibiotics. Common drugs include rifampicin and isoniazid. In some cases the TB bacteria does not respond to the standard drugs. In this case, the patient has drug-resistant TB. Treatment for drug-resistant TB is longer and",guidelines
who_hepatitis_01,Hepatitis,World Health Organization,https://www.who.int/health-topics/hepatitis,Public,2026-01-26,"WHO Health Topic: Hepatitis Overview: Hepatitis is an inflammation of the liver that is caused by a variety of infectious viruses and non-infectious agents leading to a range of health problems, including severe liver damage and cancer, some of which can be fatal. There are 5 main strains of the hepatitis virus, referred to as types A, B, C, D and E. While they can all cause liver disease, they differ in important ways including modes of transmission, severity of the illness, geographical distribution and prevention methods. In particular, types B and C lead to chronic disease in hundreds of millions of people and together are the most common cause of liver cirrhosis, liver cancer and viral hepatitis-related deaths. They are among the main infectious disease killers, causing an estimated 1.3 million deaths per year. An estimated 304 million people worldwide live with hepatitis B or C, and for most, testing and treatment remain beyond reach. WHO’s Global Health Sector Strategy on HIV, Viral Hepatitis and Sexually Transmitted Infections (2022–2030) outlines clear targets to eliminate viral hepatitis as a public health problem. The strategy aims to reduce new hepatitis infections to 520 000 cases annually and hepatitis-related deaths to 450 000 by 2030, which represents a 90% reduction in incidence and a 65% reduction in mortality compared to 2015. Without urgent and sustained action, however, viral hepatitis is projected to cause an additional 9.5 million new infections, 2.1 million liver cancer cases, and 2.8 million deaths by 2030. These outcomes are largely preventable through the scale-up of hepatitis B vaccination, improved access to prevention, testing and treatment for hepatitis B and C, and targeted public education campaigns to raise awareness and reduce transmission Symptoms Many people with hepatitis A, B, C, D or E exhibit only mild symptoms or no symptoms at all.",guidelines
who_hepatitis_02,Hepatitis,World Health Organization,https://www.who.int/health-topics/hepatitis,Public,2026-01-26,"Each form of the virus, however, can cause more severe symptoms; notable is hepatitis E infection in pregnant women. Symptoms of viral hepatitis may include fever, malaise, loss of appetite, diarrhoea, nausea, abdominal discomfort, dark-coloured urine and jaundice (a yellowing of the skin and whites of the eyes). Hepatitis B, C and D virus can also cause a chronic liver infection that can later develop into cirrhosis (a scarring of the liver) or liver cancer. These patients are at risk of premature death. Hepatitis D (HDV) is only found in people already infected with hepatitis B (HBV); however, the dual infection of HBV and HDV can cause a more serious infection and accelerated progression to cirrhosis and cancer. HBV, HCV and HDV cause hepatocellular carcinoma and are considered carcinogenic. Treatment Safe and effective vaccines are available to prevent hepatitis B virus (HBV) infection, and when given at birth, as part of the childhood vaccination series, strongly reduces the risk of transmission from mother to child. Hepatitis B vaccination also protects against hepatitis D virus (HDV) infection. Chronic HBV infection can be treated with antiviral agents. Treatment can slow the progression of cirrhosis, reduce incidence of liver cancer and improve long term survival. Only a proportion of people with chronic HBV infection will require treatment. A vaccine also exists to prevent infections of hepatitis A (HAV) and E (HEV). It is advised to avoid unnecessary medications due to the negative effect on liver function caused by these infections. Hepatitis C (HCV) can cause both acute and chronic infection. Chronic HCV infection can lead to long-term complications, including cirrhosis or cancer. There is no vaccine for HCV. Antiviral medicines can cure more than 95% of persons with HCV infection, thereby reducing the risk of death from cirrhosis and liver cancer, but access to diagnosis and treatment remains globally low.",guidelines
who_hepatitis_03,Hepatitis,World Health Organization,https://www.who.int/health-topics/hepatitis,Public,2026-01-26,"HAV and HEV are most common in low- and middle-income countries due to reduced access to clean and safe water sources and the increased risk of contaminated food. A safe and effective vaccine is available to prevent HAV and HEV infections. Most HAV and HEV infections are mild, with the majority of people recovering fully and developing immunity to further infection. However, these infections can also be severe and life threatening due to the risk of liver failure. Fact sheets Hepatitis A Hepatitis B Hepatitis C Hepatitis D Hepatitis E Immunization coverage Questions and answers What is hepatitis? Severe acute hepatitis of unknown cause in children Preventing mother-to-child transmission of the hepatitis B virus Guidelines Guidelines on hepatitis Databases and tools Global reporting system for hepatitis Viral hepatitis country profiles Disease outbreak news Acute hepatitis of unknown aetiology Resolutions and decisions Global health sector strategies on, respectively, HIV, viral hepatitis and sexually transmitted infections, for the period 2022–2030 (WHA75.20) WHA67.6: hepatitis WHA63.18: viral hepatitis Technical work Global Hepatitis Programme",guidelines
who_rabies_01,Rabies,World Health Organization,https://www.who.int/health-topics/rabies,Public,2026-01-26,"WHO Health Topic: Rabies Overview: Rabies is a viral zoonotic disease that causes progressive and fatal inflammation of the brain and spinal cord. Clinically, it has two forms: Furious rabies – characterized by hyperactivity and hallucinations. Paralytic rabies – characterized by paralysis and coma. Although fatal once clinical signs appear, rabies is entirely avoidable; vaccines, medicines and technologies have long been available to prevent death from rabies. Nevertheless, rabies still kills tens of thousands of people each year. Of these cases, approximately 99% are acquired from the bite of an infected dog. Dog-mediated human rabies can be eliminated by tackling the disease at its source: infected dogs. Making people aware of how to avoid the bites of rabid dogs, to seek treatment when bitten and to vaccinate animals can successfully disrupt the rabies transmission cycle. Rabies is estimated to cause 59 000 human deaths annually in over 150 countries, with 95% of cases occurring in Africa and Asia. Due to underreporting and uncertain estimates, this number is likely a gross underestimate. The burden of disease is disproportionally borne by rural poor populations, with approximately half of cases attributable to children under 15 years of age. Symptoms Early symptoms of a rabies infection can include a fever with pain and unusual or unexplained tingling, pricking or burning sensation (paraesthesia) at the wound site. In later states, the virus spreads to the central nervous system, causing fatal inflammation of the brain and spinal cord. The incubation period of the disease can vary from 1 week to 1 year, though it is typically 2–3 months. The two types of rabies show different symptoms. Furious rabies causes signs of hyperactivity, excitable behaviour, hydrophobia (fear of water) and sometimes aerophobia (fear of drafts or of fresh air). Death occurs after a few days due to cardio-respiratory arrest.",guidelines
who_rabies_02,Rabies,World Health Organization,https://www.who.int/health-topics/rabies,Public,2026-01-26,"Paralytic rabies, which accounts for about 20% of the total number of human cases, runs a less dramatic and usually longer course than the furious form. Muscles gradually become paralysed, starting at the site of the bite or scratch. A coma slowly develops and eventually death occurs. The paralytic form of rabies is often misdiagnosed, contributing to the under-reporting of the disease. Treatment Vaccinating dogs is the most cost-effective strategy for preventing rabies in people, and human rabies vaccines exist for pre-exposure immunization. If you are bitten or scratched by an animal, particularly a dog: Wash the wound immediately with soap or detergent. Flush the wound thoroughly for about 15 minutes with copious amounts of water. Apply an iodine-containing or anti-viral medication to the wound 15 minutes after it has been washed and flushed. Avoid applying irritants to the wounds such as chili powder, plant juices, acids and alkalis. Avoid covering the wound with dressings or bandages. Seek transportation to a health care facility for further assessment and treatment by a healthcare professional. If possible, safely confine the biting animal and collect information on it and the bite circumstance to provide to the health care professional and public health officer. Keep the biting animal confined and under observation for 10 days. WHO continues to promote human rabies prevention through the elimination of rabies in dogs, dog bite prevention strategies, and more widespread use of the intradermal route for post-exposure prophylaxis, which reduces volume and therefore the cost of cell-cultured vaccine by 60% to 80%.",guidelines
who_rabies_03,Rabies,World Health Organization,https://www.who.int/health-topics/rabies,Public,2026-01-26,Fact sheets Rabies Questions and answers FAQs on rabies for general public FAQs on rabies for clinicians Databases and tools Global Health Observatory (GHO) data World Animal Health Information Database (WAHIS) Resolutions and decisions Rabies 1950 | WHA3.20 Rage 1950 | WHA3.20 World Rabies Day World Rabies Day | 28 th September Training Rabies & One Health: From basics to cross-sectoral action to stop human rabies deaths Technical work Control of Neglected Tropical Diseases,guidelines
who_measles_01,Measles,World Health Organization,https://www.who.int/health-topics/measles,Public,2026-01-26,"WHO Health Topic: Measles Overview: Measles is a highly contagious viral disease. It remains an important cause of death among young children globally, despite the availability of a safe and effective vaccine. While vaccination has prevented an estimated 59 million deaths between 2000–2024, measles is still common in many low-income countries, particularly in parts of Africa and Asia. An estimated 95 000 people died from measles in 2024. The overwhelming majority (",guidelines
who_pneumonia_01,Pneumonia,World Health Organization,https://www.who.int/health-topics/pneumonia,Public,2026-01-26,"WHO Health Topic: Pneumonia Overview: Pneumonia is a form of acute respiratory infection that is most commonly caused by viruses or bacteria. It can cause mild to life-threatening illness in people of all ages, however it is the single largest infectious cause of death in children worldwide. Pneumonia killed",guidelines
who_chronic_respiratory_diseases_01,Chronic Respiratory Diseases,World Health Organization,https://www.who.int/health-topics/chronic-respiratory-diseases,Public,2026-01-26,"WHO Health Topic: Chronic Respiratory Diseases Overview: Chronic respiratory diseases (CRDs) affect the airways and other structures of the lungs. Some of the most common are chronic obstructive pulmonary disease (COPD), asthma, occupational lung diseases and pulmonary hypertension. In addition to tobacco smoke, other risk factors include air pollution, occupational chemicals and dusts, and frequent lower respiratory infections during childhood. CRDs are not curable; however, various forms of treatment that help open the air passages and improve shortness of breath can help control symptoms and improve daily life for people living with these conditions. The WHO Global Alliance against CRDs (GARD) vision is “a world in which all people breathe freely”. GARD focuses on the needs of people with CRDs in low- and middle-income countries. The aim of the WHO Chronic Respiratory Diseases Programme is to support Member States in their efforts to reduce the toll of morbidity, disability and premature mortality related to chronic respiratory diseases, specifically asthma and chronic obstructive pulmonary disease. Symptoms The two most common chronic respiratory diseases are asthma and chronic obstructive pulmonary disease (COPD). These both affect the airways in the lungs. Asthma is characterized by recurrent attacks of breathlessness and wheezing due to airway narrowing, which vary in severity and frequency from person to person. Symptoms may occur several times in a day or week in affected individuals, and for some people become worse during physical activity or at night. Asthma is the most common chronic disease among children. In asthma, the airway obstruction is reversible with inhaled medicines, but in COPD it is mostly fixed. COPD only affects adults and usually becomes worse with time. The most common symptoms of COPD are breathlessness or a need for air, sputum production and a chronic cough.",guidelines
who_chronic_respiratory_diseases_02,Chronic Respiratory Diseases,World Health Organization,https://www.who.int/health-topics/chronic-respiratory-diseases,Public,2026-01-26,"Risk factors for chronic respiratory diseases include tobacco smoking (including second-hand smoke), air pollution, allergens and occupational risks. Outdoor air pollution and indoor air pollution (often caused by cooking with solid fuels) are also common causes. Asthma and COPD may be prevented by reducing or avoiding exposure to these risk factors. Treatments Neither asthma nor chronic obstructive pulmonary disease (COPD) can be cured but treatment can reduce symptoms, prevent deterioration and improve daily life. During attacks of breathlessness caused by airway narrowing, inhaled medicines (bronchodilators) can open the airways and relieve symptoms. If untreated, severe attacks can lead to death. Appropriate management of asthma with inhaled corticosteroid medicine can control the progression of the disease and reduce deaths. Long-term treatment is required for people with persistent symptoms and exposures which trigger symptoms (e.g. smoke, fumes, dust, grass and tree pollen, animal fur and feathers) should be avoided. Chronic obstructive pulmonary disease is confirmed by a spirometry test, which measures how much and how quickly a person can blow air out of their lungs. Symptoms can be treated through medical and physical treatments; however, with COPD in people who smoke tobacco, the most effective treatment available is to stop smoking. This can slow down the progression of the disease and decrease COPD-related deaths. In specific cases, people may benefit from using inhaled corticosteroid medicines. Fact sheets Asthma Chronic obstructive pulmonary disease (COPD) Ambient (outdoor) air pollution Household air pollution Questions and answers What is pulmonary hypertension? What is bronchiectasis? What is obstructive sleep apnoea syndrome?",guidelines
who_chronic_respiratory_diseases_03,Chronic Respiratory Diseases,World Health Organization,https://www.who.int/health-topics/chronic-respiratory-diseases,Public,2026-01-26,"Initiatives and Groups Global Alliance against Chronic Respiratory Diseases (GARD) Resolutions and decisions Preparation for the third High-level meeting of the General Assembly on the prevention and control of NCDs (WHA71.2) Prevention and control of NCDs: implementation of the global strategy (WHA61.14) Respiratory diseases (WHA32.33) Technical work Noncommunicable diseases, rehabilitation and disability",guidelines
who_cardiovascular_diseases_01,Cardiovascular Diseases,World Health Organization,https://www.who.int/health-topics/cardiovascular-diseases,Public,2026-01-26,"WHO Health Topic: Cardiovascular Diseases Overview: Cardiovascular diseases (CVDs) are the leading cause of death globally, taking an estimated 17.9 million lives each year. CVDs are a group of disorders of the heart and blood vessels and include coronary heart disease, cerebrovascular disease, rheumatic heart disease and other conditions.",guidelines
